"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003/2004","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","0","","","","0"
"2004/2005","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","0","","","","0"
"2005/2006","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","0","","","","0"
"2006/2007","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","0","","","","0"
"2007/2008","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2008/2009","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2009/2010","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2010/2011","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2011/2012","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2012/2013","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2013/2014","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2014/2015","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2015/2016","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2016/2017","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2017/2018","British Columbia","2016A000259","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009358","11.1.4","","..","","","0"
"2002/2003","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","613227","","","","0"
"2003/2004","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","605535","","","","0"
"2004/2005","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","596169","","","","0"
"2005/2006","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","589380","","","","0"
"2006/2007","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","578628","","","","0"
"2007/2008","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","571269","","","","0"
"2008/2009","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","565875","","","","0"
"2009/2010","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","562740","","","","0"
"2010/2011","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","579111","","","","0"
"2011/2012","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","569736","","","","0"
"2012/2013","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","564528","","","","0"
"2013/2014","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","558984","","","","0"
"2014/2015","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","552786","","","","0"
"2015/2016","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","553374","","","","0"
"2016/2017","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","557625","","","","0"
"2017/2018","British Columbia","2016A000259","Public schools","Total, program type","Number","223","units","0","v1001753253","11.2.1","563241","","","","0"
"2002/2003","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","595203","","","","0"
"2003/2004","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","588009","","","","0"
"2004/2005","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","581319","","","","0"
"2005/2006","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","575082","","","","0"
"2006/2007","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","564663","","","","0"
"2007/2008","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","558750","","","","0"
"2008/2009","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","553563","","","","0"
"2009/2010","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","549432","","","","0"
"2010/2011","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","565728","","","","0"
"2011/2012","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","556875","","","","0"
"2012/2013","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","551622","","","","0"
"2013/2014","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","546819","","","","0"
"2014/2015","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","543105","","","","0"
"2015/2016","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","545253","","","","0"
"2016/2017","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","549921","","","","0"
"2017/2018","British Columbia","2016A000259","Public schools","Regular programs for youth","Number","223","units","0","v1001753254","11.2.2","555735","","","","0"
"2002/2003","British Columbia","2016A000259","Public schools","General programs for adults","Number","223","units","0","v1001753255","11.2.3","18021","","","","0"
"2003/2004","British Columbia","2016A000259","Public schools","General programs for adults","Number","223","units","0","v1001753255","11.2.3","17526","","","","0"
"2004/2005","British Columbia","2016A000259","Public schools","General programs for adults","Number","223","units","0","v1001753255","11.2.3","14850","","","","0"
"2005/2006","British Columbia","2016A000259","Public schools","General programs for adults","Number","223","units","0","v1001753255","11.2.3","14298","","","","0"
"2006/2007","British Columbia","2016A000259","Public schools","General programs for adults","Number","223","units","0","v1001753255","11.2.3","13962","","","","0"
"2007/2008","British Columbia","2016A000259","Public schools","General programs for adults","Number","223","units","0","v1001753255","11.2.3","12519","","","","0"
"2008/2009","British Columbia","2016A000259","Public schools","General programs for adults","Number","223","units","0","v1001753255","11.2.3","12309","","","","0"
