"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003/2004","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","99267","","","","0"
"2004/2005","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","102621","","","","0"
"2005/2006","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","58563","","","","0"
"2006/2007","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","64542","","","","0"
"2007/2008","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","108258","","","","0"
"2008/2009","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","111645","","","","0"
"2009/2010","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","117435","","","","0"
"2010/2011","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","119541","","","","0"
"2011/2012","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","122175","","","","0"
"2012/2013","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","125217","","","","0"
"2013/2014","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","128817","","","","0"
"2014/2015","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","130167","","","","0"
"2015/2016","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","129699","","","","0"
"2016/2017","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","128376","","","","0"
"2017/2018","Quebec","2016A000224","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1001753203","6.1.4","123030","","","","0"
"2002/2003","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1244943","","","","0"
"2003/2004","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1240818","","","","0"
"2004/2005","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1232664","","","","0"
"2005/2006","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1062324","","","","0"
"2006/2007","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1046118","","","","0"
"2007/2008","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1188903","","","","0"
"2008/2009","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1187610","","","","0"
"2009/2010","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1189632","","","","0"
"2010/2011","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1179801","","","","0"
"2011/2012","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1172142","","","","0"
"2012/2013","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1176852","","","","0"
"2013/2014","Quebec","2016A000224","Public schools","Total, program type","Number","223","units","0","v1001753204","6.2.1","1183488","","","","0"
