"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003/2004","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2004/2005","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2005/2006","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2006/2007","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2007/2008","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2008/2009","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2009/2010","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","0","","","","0"
"2010/2011","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","","..","","","0"
"2011/2012","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","","..","","","0"
"2012/2013","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","","..","","","0"
"2013/2014","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","","..","","","0"
"2014/2015","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","","..","","","0"
"2015/2016","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","","..","","","0"
"2016/2017","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","","..","","","0"
"2017/2018","New Brunswick","2016A000213","Total, school type","Vocational programs for youth and adults","Number","223","units","0","v1077009321","5.1.4","","..","","","0"
"2002/2003","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","120600","","","","0"
"2003/2004","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","118869","","","","0"
"2004/2005","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","117147","","","","0"
"2005/2006","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","114819","","","","0"
"2006/2007","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","112011","","","","0"
"2007/2008","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","110289","","","","0"
"2008/2009","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","108408","","","","0"
"2009/2010","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","106392","","","","0"
"2010/2011","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","104421","","","","0"
"2011/2012","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","102579","","","","0"
"2012/2013","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","101079","","","","0"
"2013/2014","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","99921","","","","0"
"2014/2015","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","98907","","","","0"
"2015/2016","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","97911","","","","0"
"2016/2017","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","97842","","","","0"
"2017/2018","New Brunswick","2016A000213","Public schools","Total, program type","Number","223","units","0","v1001753194","5.2.1","97755","","","","0"
"2002/2003","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","120600","","","","0"
"2003/2004","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","118869","","","","0"
"2004/2005","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","117147","","","","0"
"2005/2006","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","114819","","","","0"
"2006/2007","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","112014","","","","0"
"2007/2008","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","110289","","","","0"
"2008/2009","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","108405","","","","0"
"2009/2010","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","106395","","","","0"
"2010/2011","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","104421","","","","0"
"2011/2012","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","102579","","","","0"
"2012/2013","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","101079","","","","0"
"2013/2014","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","99921","","","","0"
"2014/2015","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","98904","","","","0"
"2015/2016","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","97911","","","","0"
"2016/2017","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","97842","","","","0"
"2017/2018","New Brunswick","2016A000213","Public schools","Regular programs for youth","Number","223","units","0","v1001753195","5.2.2","97755","","","","0"
"2002/2003","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","0","","","","0"
"2003/2004","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","0","","","","0"
"2004/2005","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","0","","","","0"
"2005/2006","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","0","","","","0"
"2006/2007","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","0","","","","0"
"2007/2008","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","0","","","","0"
"2008/2009","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","0","","","","0"
"2009/2010","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","0","","","","0"
"2010/2011","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","","..","","","0"
"2011/2012","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","","..","","","0"
"2012/2013","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","","..","","","0"
"2013/2014","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","","..","","","0"
"2014/2015","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","","..","","","0"
"2015/2016","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","","..","","","0"
"2016/2017","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","","..","","","0"
"2017/2018","New Brunswick","2016A000213","Public schools","General programs for adults","Number","223","units","0","v1077009322","5.2.3","","..","","","0"
"2002/2003","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","0","","","","0"
"2003/2004","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","0","","","","0"
"2004/2005","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","0","","","","0"
"2005/2006","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","0","","","","0"
"2006/2007","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","0","","","","0"
"2007/2008","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","0","","","","0"
"2008/2009","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","0","","","","0"
"2009/2010","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","0","","","","0"
"2010/2011","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","","..","","","0"
"2011/2012","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","","..","","","0"
"2012/2013","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","","..","","","0"
"2013/2014","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","","..","","","0"
"2014/2015","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","","..","","","0"
"2015/2016","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","","..","","","0"
"2016/2017","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","","..","","","0"
"2017/2018","New Brunswick","2016A000213","Public schools","Vocational programs for youth and adults","Number","223","units","0","v1077009323","5.2.4","","..","","","0"
"2006/2007","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","0","","","","0"
"2007/2008","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","816","","","","0"
"2008/2009","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","819","","","","0"
"2009/2010","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","795","","","","0"
"2010/2011","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","753","","","","0"
"2011/2012","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","768","","","","0"
"2012/2013","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","750","","","","0"
"2013/2014","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","765","","","","0"
"2014/2015","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","762","","","","0"
"2015/2016","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","1110","","","","0"
"2016/2017","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","1134","","","","0"
"2017/2018","New Brunswick","2016A000213","Private/independent schools","Total, program type","Number","223","units","0","v1001753196","5.3.1","1218","","","","0"
"2006/2007","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","0","","","","0"
"2007/2008","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","816","","","","0"
"2008/2009","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","819","","","","0"
"2009/2010","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","792","","","","0"
"2010/2011","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","753","","","","0"
"2011/2012","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","765","","","","0"
"2012/2013","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","750","","","","0"
"2013/2014","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","762","","","","0"
"2014/2015","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","765","","","","0"
"2015/2016","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","1110","","","","0"
"2016/2017","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","1134","","","","0"
"2017/2018","New Brunswick","2016A000213","Private/independent schools","Regular programs for youth","Number","223","units","0","v1001753197","5.3.2","1218","","","","0"
"2006/2007","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","0","","","","0"
"2007/2008","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2008/2009","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2009/2010","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2010/2011","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2011/2012","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2012/2013","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2013/2014","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2014/2015","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2015/2016","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2016/2017","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2017/2018","New Brunswick","2016A000213","Private/independent schools","General programs for adults","Number","223","units","0","v1077009324","5.3.3","","..","","","0"
"2006/2007","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","0","","","","0"
"2007/2008","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2008/2009","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2009/2010","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2010/2011","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2011/2012","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2012/2013","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2013/2014","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2014/2015","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2015/2016","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2016/2017","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2017/2018","New Brunswick","2016A000213","Private/independent schools","Vocational programs for youth and adults","Number","223","units","0","v1077009325","5.3.4","","..","","","0"
"2006/2007","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","513","","","","0"
"2007/2008","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","528","","","","0"
"2008/2009","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","492","","","","0"
"2009/2010","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","531","","","","0"
"2010/2011","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","549","","","","0"
"2011/2012","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","660","","","","0"
"2012/2013","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","627","","","","0"
"2013/2014","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","678","","","","0"
"2014/2015","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","693","","","","0"
"2015/2016","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","705","","","","0"
"2016/2017","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","762","","","","0"
"2017/2018","New Brunswick","2016A000213","Home-schooling","Total, program type","Number","223","units","0","v1001753198","5.4.1","801","","","","0"
"2006/2007","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","510","","","","0"
"2007/2008","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","528","","","","0"
"2008/2009","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","495","","","","0"
"2009/2010","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","531","","","","0"
"2010/2011","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","549","","","","0"
"2011/2012","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","660","","","","0"
"2012/2013","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","627","","","","0"
"2013/2014","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","681","","","","0"
"2014/2015","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","693","","","","0"
"2015/2016","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","708","","","","0"
"2016/2017","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","762","","","","0"
"2017/2018","New Brunswick","2016A000213","Home-schooling","Regular programs for youth","Number","223","units","0","v1001753199","5.4.2","801","","","","0"
"2006/2007","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","0","","","","0"
"2007/2008","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2008/2009","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2009/2010","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2010/2011","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2011/2012","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2012/2013","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2013/2014","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2014/2015","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2015/2016","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2016/2017","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2017/2018","New Brunswick","2016A000213","Home-schooling","General programs for adults","Number","223","units","0","v1077009326","5.4.3","","..","","","0"
"2006/2007","New Brunswick","2016A000213","Home-schooling","Vocational programs for youth and adults","Number","223","units","0","v1077009327","5.4.4","0","","","","0"
"2007/2008","New Brunswick","2016A000213","Home-schooling","Vocational programs for youth and adults","Number","223","units","0","v1077009327","5.4.4","","..","","","0"
