# name: RollerCoasterDataExperienceFULL635
# source: RollerCoasterDataExperienceFULL635.csv
# importDate: 2020-06-09T13:04:50.052Z
# attribute -- name: Coaster, description: Name of the roller coaster, type: categorical, precision: 2, editable: true
# attribute -- name: Park, description: Name of the park where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: City, description: City where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: State, description: State where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: Year Opened, description: Year when roller coaster opened, type: numeric, editable: true
# attribute -- name: TopSpeed, description: Maximum speed of roller coaster, type: numeric, unit: mph, precision: 2, editable: true
# attribute -- name: MaxHeight, description: Highest point of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Duration, description: Time length of roller coaster ride, type: numeric, unit: s, precision: 2, editable: true
# attribute -- name: Type, description: Material of track (Steel or Wooden), type: categorical, precision: 2, editable: true
# attribute -- name: Length, description: Length of roller coaster track, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Drop, description: Length of largest gap between high and low points of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: # of Inversions, description: Number of times roller coaster flips passengers, type: numeric, precision: 2, editable: true
Coaster,Park,City,State,Year Opened,TopSpeed,MaxHeight,Duration,Type,Length,Drop,# of Inversions
Dark Knight,Six Flags Great Adventure,Jackson,New Jersey,2008,55,117.8,120,Steel,1213,45,0
Superman - Ultimate Flight,Six Flags Great Adventure,Jackson,New Jersey,2003,51,106,126,Steel,2759,100,2
Looping Star,Keansburg Amusement Park,Keansburg,New Jersey,2015,48,36.1,77,Steel,1197.5,32,1
Hydrus,Casino Pier,Seaside Heights,New Jersey,2017,45,72,73,Steel,1050,70,3
Joker,Six Flags Great Adventure,Jackson,New Jersey,2016,38,120,60,Steel,1019,54,0
Nickelodeon Slime Streak,Nickelodeon Universe Theme Park,East Rutherford,New Jersey,2019,37,70,70,Steel,1263,,0
Shredder,Nickelodeon Universe Theme Park,East Rutherford,New Jersey,2019,36,141,,Steel,2247,138,0
Runaway Tram,Morey's Piers,Wildwood,New Jersey,2019,28.6,36.1,,Steel,921.9,40,0
FunCoaster,Funplex,Mount Laurel,New Jersey,2013,26.7,36.1,100,Steel,1017.1,,0
Doo Wopper,Morey's Piers,Wildwood,New Jersey,2005,25,35,75,Steel,885,15,0
Hot Tamales,Casino Pier,Seaside Heights,New Jersey,2003,14.1,11.8,109,Steel,196.8,,0
Tidal Wave,Jenkinson's Boardwalk,Point Pleasant Beach,New Jersey,2019,11.2,20,,Steel,393.7,,0
Wacky Worm,Gillian's Wonderland Pier,Ocean City,New Jersey,2012,10,13,30,Steel,444,12,0
Freedom Rider,iPlay America,Freehold,New Jersey,2016,,14,,Steel,190,,0
Hang Ten,Fantasy Island Amusement Park,Beach Haven,New Jersey,2017,,14,,Steel,180,,0
Whirlwind,Playland's Castaway Cove,Ocean City,New Jersey,2016,,14,,Steel,190,,0
Bubbles The Coaster,Storybook Land,Egg Harbor Township,New Jersey,2000,,16,84,Steel,,,0
Pirates Hideaway,Casino Pier,Seaside Heights,New Jersey,2007,,17,79,Steel,,,0
Cyclone,Luna Park,Brooklyn,New York,1927,60,75,110,Wood,2850.3,58.6,0
Jack Rabbit,Seabreeze,Rochester,New York,1920,50,60,115,Wood,2130,75,0
Bobsleds,Seabreeze,Rochester,New York,1954,23,31,89,Steel,1240,16,0
Little Dipper,Midway State Park,Bemus Point,New York,1956,7,12,50,Steel,280,6,0
Dragon Coaster,Playland Park,Rye,New York,1929,45,80,120,Wood,3400,60,0
Kiddy Coaster,Playland Park,Rye,New York,1928,,18,73,Wood,300,10,0
Ride of Steel,Six Flags Darien Lake,Darien Center,New York,1999,73,208,122,Steel,5400,205,0
Comet,Great Escape,Queensbury,New York,1994,55,95,120,Wood,4197,87,0
Viper,Six Flags Darien Lake,Darien Center,New York,1982,50,121,124,Steel,3100,75,5
Predator,Six Flags Darien Lake,Darien Center,New York,1990,50,95,110,Wood,3400,87,0
Mind Eraser,Six Flags Darien Lake,Darien Center,New York,1997,49.7,109.3,85,Steel,2260.5,86,5
Sea Serpent,Deno's Wonder Wheel Amusement Park,Brooklyn,New York,1999,47,125,110,Steel,950,116,0
Boomerang Coast to Coaster,Six Flags Darien Lake,Darien Center,New York,1998,47,116.5,108,Steel,935,116,3
Flashback,Great Escape,Queensbury,New York,1997,47,116.5,108,Steel,935,,3
Steamin' Demon,Great Escape,Queensbury,New York,1984,45,95,90,Steel,1565,65,3
Alpine Bobsled,Great Escape,Queensbury,New York,1998,35,64,100,Steel,1490,20,0
Galaxi,Sylvan Beach Amusement Park,Sylvan Beach,New York,1993,35,45,122,Steel,1650,32,0
Hoot N Holler,Six Flags Darien Lake,Darien Center,New York,1981,16.2,10.8,,Steel,197.5,,0
Bear Trax,Seabreeze,Rochester,New York,1997,15,15,52,Steel,380,12,0
Roller Coaster,Boomers Family Fun Center,Medford,New York,1999,,13,,Steel,262.5,,0
Thunderbolt,Luna Park,Brooklyn,New York,2014,55.9,114.8,38,Steel,2234.3,112,4
Tantrum,Six Flags Darien Lake,Darien Center,New York,2018,52.8,98.4,60,Steel,1246.7,97,3
Canyon Blaster,Great Escape,Queensbury,New York,2003,45,56,150,Steel,2036,,0
Turbulence,Adventureland,Farmingdale,New York,2015,40,55,,Steel,1253.3,,0
Whirlwind,Seabreeze,Rochester,New York,2004,37.3,50.8,70,Steel,1391.1,,0
Moto Coaster,Six Flags Darien Lake,Darien Center,New York,2008,37.3,42.7,,Steel,1194.2,,0
Steeplechase,Luna Park,Brooklyn,New York,2011,37.3,42.7,,Steel,1194.2,,0
Crazy Mouse,Playland Park,Rye,New York,2003,31.1,41,80,Steel,1234,,0
Soarin' Eagle,Luna Park,Brooklyn,New York,2011,25.7,50,48,Steel,1282.8,17,2
