# name: RollerCoasterDataExperienceFULL635
# source: RollerCoasterDataExperienceFULL635.csv
# importDate: 2020-06-09T13:04:50.052Z
# attribute -- name: Coaster, description: Name of the roller coaster, type: categorical, precision: 2, editable: true
# attribute -- name: Park, description: Name of the park where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: City, description: City where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: State, description: State where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: Year Opened, description: Year when roller coaster opened, type: date, precision: year, editable: true
# attribute -- name: TopSpeed, description: Maximum speed of roller coaster, type: numeric, unit: mph, precision: 2, editable: true
# attribute -- name: MaxHeight, description: Highest point of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Duration, description: Time length of roller coaster ride, type: numeric, unit: s, precision: 2, editable: true
# attribute -- name: Type, description: Material of track (Steel or Wooden), type: categorical, precision: 2, editable: true
# attribute -- name: Length, description: Length of roller coaster track, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Drop, description: Length of largest gap between high and low points of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: # of Inversions, description: Number of times roller coaster flips passengers, type: numeric, precision: 2, editable: true
Coaster,Park,City,State,Year Opened,TopSpeed,MaxHeight,Duration,Type,Length,Drop,# of Inversions
Cruiser Coaster,Craig's Cruisers Family Fun Center,Wyoming,Michigan,2018,,14,,Steel,190,,0
High Roller,Valleyfair!,Shakopee,Minnesota,1976,50,70,105,Wood,2982,56,0
Wild Thing,Valleyfair!,Shakopee,Minnesota,1996,74,207,180,Steel,5460,196,0
Excalibur,Valleyfair!,Shakopee,Minnesota,1989,54.5,100,137,Steel,2415,105,0
Corkscrew,Valleyfair!,Shakopee,Minnesota,1980,50,85,90,Steel,1950,65,3
Pepsi Orange Streak,Nickelodeon Universe,Bloomington,Minnesota,1992,30,60,150,Steel,2680,40,0
Mad Mouse,Valleyfair!,Shakopee,Minnesota,1999,30,50,90,Steel,1257,30,0
Steel Venom,Valleyfair!,Shakopee,Minnesota,2003,68,185,57,Steel,630,175,0
Renegade,Valleyfair!,Shakopee,Minnesota,2007,51.3,97.5,120,Wood,3113,91.4,0
SpongeBob SquarePants Rock Bottom Plunge,Nickelodeon Universe,Bloomington,Minnesota,2008,43.5,74.5,120,Steel,1371.4,67,2
Fairly Odd Coaster,Nickelodeon Universe,Bloomington,Minnesota,2004,31,54,90,Steel,1345,34,0
Tiger Trax,Como Town,St. Paul,Minnesota,2015,,33,90,Steel,1100,,0
Screamin' Eagle,Six Flags St. Louis,Eureka,Missouri,1976,62,110,150,Wood,3872,92,0
River King Mine Train,Six Flags St. Louis,Eureka,Missouri,1971,37,32,180,Steel,2500,41,0
Fire In The Hole,Silver Dollar City,Branson,Missouri,1972,27,36,195,Steel,1380,20,0
Mamba,Worlds of Fun,Kansas City,Missouri,1998,75,205,180,Steel,5600,205,0
Mr. Freeze Reverse Blast,Six Flags St. Louis,Eureka,Missouri,1998,70,218,90,Steel,1300,194,1
Powder Keg: A Blast in the Wilderness,Silver Dollar City,Branson,Missouri,1999,64,98,173,Steel,3506,110,0
Ninja,Six Flags St. Louis,Eureka,Missouri,1989,54.7,108.3,120,Steel,2430,69,4
Timber Wolf,Worlds of Fun,Kansas City,Missouri,1989,53,100,133,Wood,4230,95,0
Batman The Ride,Six Flags St. Louis,Eureka,Missouri,1995,50,105,120,Steel,2693,85,5
Thunderation,Silver Dollar City,Branson,Missouri,1993,48,110,130,Steel,3022,81,0
Cosmic Coaster,Worlds of Fun,Kansas City,Missouri,1993,15,12,55,Steel,444,9,0
Outlaw Run,Silver Dollar City,Branson,Missouri,2013,68,107,87,Wood,2937,162,3
Boss,Six Flags St. Louis,Eureka,Missouri,2000,66.3,122,186,Wood,4631,150,0
Wildfire,Silver Dollar City,Branson,Missouri,2001,66,120,136,Steel,3073,155,5
Patriot,Worlds of Fun,Kansas City,Missouri,2006,60,149,138,Steel,3081,123,4
Prowler,Worlds of Fun,Kansas City,Missouri,2009,51.2,102.3,150,Wood,3074,84.9,0
Time Traveler,Silver Dollar City,Branson,Missouri,2018,50.3,100,117,Steel,3020,90,3
American Thunder,Six Flags St. Louis,Eureka,Missouri,2008,48,82,110,Wood,2713,80,0
Boomerang,Worlds of Fun,Kansas City,Missouri,2000,47,116.5,108,Steel,935,125,3
Boomerang,Six Flags St. Louis,Eureka,Missouri,2013,47,116.5,108,Steel,935,125,3
Pandemonium,Six Flags St. Louis,Eureka,Missouri,2007,31,48,96,Steel,1351,27,0
Spinning Dragons,Worlds of Fun,Kansas City,Missouri,2004,31,54,90,Steel,1345,50,0
The Branson Coaster,Branson Sawmill,Branson,Missouri,2017,30,,,Steel,2700,,0
Python Pit,PowerPlay Family Entertainment Center,Kansas City,Missouri,2014,10,11.5,48,Steel,300,10,0
Grand Exposition Coaster,Silver Dollar City,Branson,Missouri,2006,,13,,Steel,262,,0
Incredible Spin Coaster,St. Louis's Incredible Pizza Company,St. Louis,Missouri,2016,,14,,Steel,190,,0
Beast,Kings Island,Mason,Ohio,1979,64.8,110,250,Wood,7359,141,0
Gemini,Cedar Point,Sandusky,Ohio,1978,60,125.3,140,Steel,3935,118,0
Racer,Kings Island,Mason,Ohio,1972,53,88,120,Wood,3415,83,0
Corkscrew,Cedar Point,Sandusky,Ohio,1976,48,85,120,Steel,2050,65,3
Cedar Creek Mine Ride,Cedar Point,Sandusky,Ohio,1969,42,55,162,Steel,2540,48,0
Blue Streak,Cedar Point,Sandusky,Ohio,1964,40,78,105,Wood,2558,72,0
Little Dipper,Memphis Kiddie Park,Cleveland,Ohio,1952,7,12,50,Steel,280,6,0
Wilderness Run,Cedar Point,Sandusky,Ohio,1979,6,19,50,Steel,443,8,0
Sea Dragon,Columbus Zoo and Aquarium,Powell,Ohio,1956,25,35,90,Wood,1320,30,0
Magnum XL-200,Cedar Point,Sandusky,Ohio,1989,72,205,120,Steel,5106,194.7,0
Rougarou,Cedar Point,Sandusky,Ohio,1996,60,145,160,Steel,3900,137,4
Raptor,Cedar Point,Sandusky,Ohio,1994,57,137,136,Steel,3790,119,6
Flight of Fear,Kings Island,Mason,Ohio,1996,54,74.2,60,Steel,2705,,4
Bat,Kings Island,Mason,Ohio,1993,51,78,112,Steel,2352,70,0
Invertigo,Kings Island,Mason,Ohio,1999,50,131.3,90,Steel,1013.8,138,3
Teddy Bear,Stricker's Grove,Ross,Ohio,1996,45,28,63,Wood,700,20,0
Tornado,Stricker's Grove,Ross,Ohio,1993,45,50,93,Wood,2080,55,0
Iron Dragon,Cedar Point,Sandusky,Ohio,1987,40,76,120,Steel,2800,60,0
Adventure Express,Kings Island,Mason,Ohio,1991,35,63,140,Steel,2963,47,0
Little Dipper,Tuscora Park,New Philadelphia,Ohio,1990,7,12,50,Steel,280,6,0
Great Pumpkin Coaster,Kings Island,Mason,Ohio,1992,,8,52,Steel,199.3,8,0
Top Thrill Dragster,Cedar Point,Sandusky,Ohio,2003,120,420,30,Steel,2800,400,0
Millennium Force,Cedar Point,Sandusky,Ohio,2000,93,310,140,Steel,6595,300,0
Diamondback,Kings Island,Mason,Ohio,2009,80,230,180,Steel,5282,215,0
Valravn,Cedar Point,Sandusky,Ohio,2016,75,223,116,Steel,3415,214,3
Steel Vengeance,Cedar Point,Sandusky,Ohio,2018,74,205,150,Steel,5740,200,4
Wicked Twister,Cedar Point,Sandusky,Ohio,2002,72,215,40,Steel,2700,206,0
Maverick,Cedar Point,Sandusky,Ohio,2007,70,105,150,Steel,4450,100,2
Banshee,Kings Island,Mason,Ohio,2014,68,167,160,Steel,4124,150,7
GateKeeper,Cedar Point,Sandusky,Ohio,2013,67,170,160,Steel,4164,164,6
Mystic Timbers,Kings Island,Mason,Ohio,2017,53,109.2,120,Wood,3265,98,0
Backlot Stunt Coaster,Kings Island,Mason,Ohio,2005,40,45.2,64,Steel,1960,31.2,0
Flying Ace Aerial Chase,Kings Island,Mason,Ohio,2001,26,48.6,90,Steel,1122.1,,0
Lil Dipper Roller Coaster,Sluggers & Putters,Canal Fulton,Ohio,2015,7,12,50,Steel,280,6,0
Nuclear Rush,Scene75 Entertainment Center,Dublin,Ohio,2019,,14,104,Steel,190,6,0
Humpty Dumpty's Great Fall,Storybook Land,Aberdeen,South Dakota,2015,,13,62,Steel,262.5,,0
Cyclops,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,1995,58,70,60,Wood,1900,75,0
Pegasus,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,1996,30,60,73,Wood,1600,45,0
Little Dipper,Little Amerricka,Marshall,Wisconsin,1993,7,12,50,Steel,280,6,0
Swiss Toboggan,Little Amerricka,Marshall,Wisconsin,1993,,45,,Steel,450,,0
Hades 360,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,2005,60,136,120,Wood,4746,140,1
Miner Mike,Knucklehead's Bowling & Family Entertainment,Wisconsin Dells,Wisconsin,2007,8,8,20,Steel,,4,0
Meteor,Little Amerricka,Marshall,Wisconsin,2007,20,28,50,Wood,900,20,0
Little Titans,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,2000,,,72,Steel,,9,0
